"SampleID","TaxaID","N_Taxa","file_taxatrans","file_attributes","Match_Official","locationId","activityYear","length_mm","Index_Class","AgeClass","AgeClass_text","COMMONNAME","RIS","NumAgeClass_Possible","LBR_Mainstem","FAMILY","oldFAMILY","GENUS","HYBRID","NONTARGET","NATIVE","BCG_ATTR","BCG_ATTR2","BCG_ATTR_ROMAN","HABITAT","TROPHIC","THERMAL_INDICATOR","REPRODUCTION","CONNECTIVITY","LBRmain_BCG","INDEX_NAME"
"BRCald2005","CATOSTOMUS MACROCHEILUS",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,395,"Main_Middleton",6,"6","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",2,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,455,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,465,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,475,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",6,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,480,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",2,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,485,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,490,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",2,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,495,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",3,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,500,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CATOSTOMUS MACROCHEILUS",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,505,"Main_Middleton",8,">7","LARGESCALE SUCKER",TRUE,8,TRUE,"CATOSTOMIDAE","","CATOSTOMUS",FALSE,FALSE,"NATIVE","4","4_middle","IV_middle","B","OM","cool","",FALSE,"yes","LBR_Fish_BCG_v1"
