source,locationId,latitude,longitude,activityId,activityDate,activityYear,collectionMethod,taxon,count,subsampleCorrectionFactor,areaCorrectionFactor,density_m2,laboratory,indexClass
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Acentrella insignificans,27,1,1,27,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Baetis tricaudatus complex,1179,1,1,1179,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Cheumatopsyche,91,1,1,91,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Chironomidae,59,1,1,59,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Cricotopus,35,1,1,35,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Cricotopus trifascia group,11,1,1,11,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Ephemerella excrucians group,19,1,1,19,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Eukiefferiella,32,1,1,32,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Glossosoma,77,1,1,77,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Heptagenia,5,1,1,5,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Hydropsyche,3141,1,1,3141,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Hydroptila,35,1,1,35,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Isoperla,8,1,1,8,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Naidinae,24,1,1,24,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Orthocladius complex,144,1,1,144,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Perlodidae,5,1,1,5,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Petrophila,27,1,1,27,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Rhithrogena,157,1,1,157,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Simulium,968,1,1,968,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Tricorythodes explicatus,3,1,1,3,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Trombidiformes,21,1,1,21,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13203760,43.569332,-116.13509,13203760_19961026_RTH,10/26/1996,1996,RTH,Tvetenia,19,1,1,19,ABA,Main_Eckert
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Acentrella insignificans,1,6,0.800000012,4.800000191,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Antocha,1,6,0.800000012,4.800000191,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Baetis tricaudatus complex,2,6,0.800000012,9.600000381,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Cardiocladius,6,6,0.800000012,28.79999924,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Cheumatopsyche,7,6,0.800000012,33.59999847,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Chironomidae,2,6,0.800000012,9.600000381,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Glossosoma,2,6,0.800000012,9.600000381,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Heptagenia,3,6,0.800000012,14.39999962,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Hydropsyche,298,6,0.800000012,1430.400024,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Hydroptila,17,6,0.800000012,81.59999847,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Isoperla,4,6,0.800000012,19.20000076,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Naidinae,3,6,0.800000012,14.39999962,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Orthocladius,2,6,0.800000012,9.600000381,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Orthocladius complex,55,6,0.800000012,264,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Perlodidae,22,6,0.800000012,105.5999985,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Petrophila,145,6,0.800000012,696,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Simulium,1,6,0.800000012,4.800000191,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Skwala,2,6,0.800000012,9.600000381,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Trombidiformes,24,6,0.800000012,115.1999969,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Tvetenia bavarica group,1,6,0.800000012,4.800000191,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13206000,43.660556,-116.279167,13206000_20121030_RTH,10/30/2012,2012,RTH,Vorticifex,1,6,0.800000012,4.800000191,ABA,Main_VetGlen
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Baetis tricaudatus complex,7,7.5,0.800000012,42,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Caecidotea,2,7.5,0.800000012,12,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Cardiocladius,3,7.5,0.800000012,18,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Cheumatopsyche,72,7.5,0.800000012,432,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Chironomidae,2,7.5,0.800000012,12,ABA,Main_Middleton
BobW_1995-2017 Boise River BMI analysis copy,13210050,43.684428,-116.573586,13210050_20121030_RTH,10/30/2012,2012,RTH,Crangonyx,10,7.5,0.800000012,60,ABA,Main_Middleton
