"SAMPLEID","INDEX_NAME","INDEX_CLASS","ni_total","pi_Cott","pi_nonnative","nt_total","nt_native","nt_nonnative","nt_natLeuc","pt_topcarn","pi_dom01","pi_dom02","nt_BCG_att123","nt_BCG2_att1234b","nt_BCG_att2","nt_BCG_att6t","pi_BCG_att123","pi_BCG_att6t","nt_ti_warm","pi_ti_cold","pi_ti_warm","pt_ti_cold","nt_repro_lithophil","d_ac_yoy_Cott","d_ac_yoy_rbt","n_ac_Cott","n_ac_rbt","n_ac_mwf","x_Obs_CatoRhin"
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","Main_Eckert",326,81.5950920245399,1.53374233128834,9,8,1,2,22.2222222222222,73.6196319018405,81.5950920245399,3,5,1,0,86.8098159509202,0,0,88.3435582822086,0,44.4444444444444,6,1,1,4,4,4,2
"239135f6-152c-4f94-81d1-cd9e7bfc2106","LBR_Fish_BCG_v1","Main_SoChannel",276,8.69565217391304,0.72463768115942,9,8,1,2,22.2222222222222,58.3333333333333,72.8260869565217,3,6,1,0,21.0144927536232,0,0,21.7391304347826,0,44.4444444444444,6,1,1,3,4,8,2
"46a1e042-6cfe-4e7a-ad1a-e284feef8c33","LBR_Fish_BCG_v1","Main_SoChannel",56,1.78571428571429,5.35714285714286,4,3,1,0,50,58.9285714285714,92.8571428571429,2,3,0,0,92.8571428571429,0,0,98.2142857142857,0,75,3,0,1,1,4,8,0
"4ab57043-badf-4bea-bb8f-4123a2d4a16d","LBR_Fish_BCG_v1","Main_NotusParma",66,0,80.3030303030303,10,2,8,0,50,28.7878787878788,46.969696969697,0,1,0,4,0,24.2424242424242,7,0,51.5151515151515,0,0,0,0,0,0,0,1
"5b16748e-84a3-494d-8e0c-a2695ce56c2c","LBR_Fish_BCG_v1","Main_NotusParma",41,0,90.2439024390244,9,2,7,0,44.4444444444444,41.4634146341463,68.2926829268293,1,1,0,3,2.4390243902439,46.3414634146341,6,2.4390243902439,63.4146341463415,11.1111111111111,0,0,0,0,0,1,1
"6126b9b7-3511-42ee-acff-1f0f2be4f836","LBR_Fish_BCG_v1","Main_VetGlen",146,21.9178082191781,2.05479452054795,11,9,2,2,18.1818181818182,23.2876712328767,41.0958904109589,3,6,1,0,50,0,0,51.3698630136986,0,36.3636363636364,6,1,1,3,5,6,2
"7b637f2e-1057-4a85-90fa-a676bee7d8b2","LBR_Fish_BCG_v1","Main_Middleton",144,0,2.77777777777778,12,10,2,5,25,39.5833333333333,56.9444444444444,2,5,0,1,8.33333333333333,2.08333333333333,2,8.33333333333333,2.77777777777778,16.6666666666667,4,0,1,0,2,6,2
"92861508-db6f-4890-b2ca-183041768c91","LBR_Fish_BCG_v1","Main_BarberPool",496,77.0161290322581,0.403225806451613,7,6,1,1,28.5714285714286,74.1935483870968,83.2661290322581,3,4,1,1,87.7016129032258,0.403225806451613,1,87.7016129032258,0.403225806451613,42.8571428571429,4,1,1,3,5,5,2
"BRCald1997","LBR_Fish_BCG_v1","Main_Middleton",198,0,3.03030303030303,7,5,2,2,14.2857142857143,58.5858585858586,75.2525252525252,1,1,0,1,2.52525252525253,2.52525252525253,2,2.52525252525253,3.03030303030303,14.2857142857143,1,0,0,0,0,2,1
"BRCald2005","LBR_Fish_BCG_v1","Main_Middleton",131,0,11.4503816793893,5,3,2,1,20,52.6717557251908,87.7862595419847,1,1,0,2,52.6717557251908,11.4503816793893,2,52.6717557251908,11.4503816793893,20,0,0,0,0,0,7,1
"BREck2003","LBR_Fish_BCG_v1","Main_Eckert",837,76.8219832735962,0.2389486260454,11,10,1,3,27.2727272727273,72.8793309438471,84.468339307049,3,4,1,0,92.831541218638,0,0,93.0704898446834,0,36.3636363636364,6,1,1,5,5,9,2
"BREck2005","LBR_Fish_BCG_v1","Main_Eckert",314,45.859872611465,1.59235668789809,8,7,1,2,37.5,45.859872611465,76.4331210191083,3,3,1,0,90.4458598726115,0,0,92.0382165605096,0,50,4,1,1,3,5,4,1
"BREck2011","LBR_Fish_BCG_v1","Main_Eckert",524,66.793893129771,0.381679389312977,9,8,1,2,44.4444444444444,52.8625954198473,73.6641221374046,4,6,1,0,89.6946564885496,0,0,90.0763358778626,0,55.5555555555556,6,1,1,5,5,8,2
"BREck2014","LBR_Fish_BCG_v1","Main_Eckert",449,42.0935412026726,1.33630289532294,9,8,1,2,33.3333333333333,37.8619153674833,73.2739420935412,3,5,1,0,89.9777282850779,0,0,91.3140311804009,0,44.4444444444444,5,1,1,4,6,9,2
"BREck2017","LBR_Fish_BCG_v1","Main_Eckert",203,60.0985221674877,0.492610837438424,10,9,1,3,30,56.1576354679803,72.9064039408867,3,5,1,0,87.6847290640394,0,0,88.1773399014778,0,40,6,1,1,4,4,6,2
"BRGlen1995","LBR_Fish_BCG_v1","Main_VetGlen",610,0,0.163934426229508,9,8,1,3,22.2222222222222,40.4918032786885,57.2131147540984,2,5,0,0,17.2131147540984,0,0,17.3770491803279,0,33.3333333333333,5,0,1,0,5,8,2
"BRGlen1996","LBR_Fish_BCG_v1","Main_VetGlen",203,2.46305418719212,2.46305418719212,11,10,1,4,27.2727272727273,33.0049261083744,52.7093596059113,3,5,1,0,36.9458128078818,0,0,39.4088669950739,0,36.3636363636364,6,1,1,1,4,8,2
"BRGlen2001","LBR_Fish_BCG_v1","Main_VetGlen",356,7.30337078651685,1.96629213483146,11,9,2,1,27.2727272727273,68.5393258426966,75,3,6,1,0,71.6292134831461,0,1,72.752808988764,0.842696629213483,36.3636363636364,5,1,1,3,3,9,2
"BRGlen2003","LBR_Fish_BCG_v1","Main_VetGlen",272,9.55882352941176,2.20588235294118,12,10,2,2,33.3333333333333,48.8970588235294,70.2205882352941,3,6,1,0,52.9411764705882,0,1,54.7794117647059,0.367647058823529,33.3333333333333,5,1,1,3,4,7,2
"BRGlen2004","LBR_Fish_BCG_v1","Main_VetGlen",149,0,7.38255033557047,11,8,3,4,36.3636363636364,39.5973154362416,55.7046979865772,2,3,0,1,20.1342281879195,0.671140939597315,2,26.1744966442953,1.34228187919463,27.2727272727273,5,0,1,0,3,3,2
"BRGlen2005","LBR_Fish_BCG_v1","Main_VetGlen",248,0.403225806451613,2.41935483870968,10,9,1,2,40,63.7096774193548,80.241935483871,3,5,0,0,75.4032258064516,0,0,77.8225806451613,0,40,5,0,1,1,3,7,2
"BRGlen2014","LBR_Fish_BCG_v1","Main_VetGlen",391,34.5268542199489,0.255754475703325,11,10,1,4,27.2727272727273,33.5038363171356,52.9411764705882,3,6,1,0,63.9386189258312,0,0,64.1943734015345,0,36.3636363636364,7,1,1,4,6,6,2
"BRGlen2017","LBR_Fish_BCG_v1","Main_VetGlen",172,30.2325581395349,1.74418604651163,10,9,1,3,20,34.8837209302326,57.5581395348837,3,5,1,0,63.953488372093,0,0,65.6976744186046,0,40,7,1,1,2,3,5,2
"BRLogCrk1996","LBR_Fish_BCG_v1","Main_Eckert",238,49.5798319327731,1.26050420168067,7,6,1,2,28.5714285714286,38.6554621848739,65.9663865546218,3,4,1,0,69.7478991596639,0,0,71.0084033613445,0,57.1428571428571,5,1,1,1,4,4,1
"BRMiddl1996","LBR_Fish_BCG_v1","Main_Middleton",267,0,11.9850187265918,9,7,2,2,22.2222222222222,40.4494382022472,67.0411985018727,2,4,0,1,40.8239700374532,11.6104868913858,2,40.8239700374532,11.9850187265918,22.2222222222222,2,0,0,0,1,8,2
