"SAMPLEID","INDEX_NAME","INDEX_CLASS","METRIC_NAME","CHECKNAME","METRIC_VALUE","SYMBOL","VALUE","FLAG"
"BREck2005","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",314,"<",100,NA
"BRLogCrk1996","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",238,"<",100,NA
"BREck2014","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",449,"<",100,NA
"BREck2011","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",524,"<",100,NA
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",326,"<",100,NA
"BREck2003","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",837,"<",100,NA
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",76,"<",100,"flag"
"BREck2017","LBR_Fish_BCG_v1","main_eckert","ni_total","low number of total individuals",203,"<",100,NA
"BREck2005","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",8,"<",4,NA
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",9,"<",4,NA
"BRLogCrk1996","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",7,"<",4,NA
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",8,"<",4,NA
"BREck2011","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",9,"<",4,NA
"BREck2017","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",10,"<",4,NA
"BREck2003","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",11,"<",4,NA
"BREck2014","LBR_Fish_BCG_v1","main_eckert","nt_total","low number of total taxa",9,"<",4,NA
"BRLogCrk1996","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",38.6554621848739,">=",70,NA
"BREck2011","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",52.8625954198473,">=",70,NA
"BREck2017","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",56.1576354679803,">=",70,NA
"BREck2014","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",37.8619153674833,">=",70,NA
"BREck2003","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",72.8793309438471,">=",70,"flag"
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",73.6196319018405,">=",70,"flag"
"BREck2005","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",45.859872611465,">=",70,NA
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","main_eckert","pi_dom01","imbalance, dominance by one taxon",34.2105263157895,">=",70,NA
"BREck2003","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",84.468339307049,">=",85,NA
"BREck2011","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",73.6641221374046,">=",85,NA
"BREck2017","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",72.9064039408867,">=",85,NA
"BRLogCrk1996","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",65.9663865546218,">=",85,NA
"BREck2005","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",76.4331210191083,">=",85,NA
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",55.2631578947368,">=",85,NA
"BREck2014","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",73.2739420935412,">=",85,NA
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","main_eckert","pi_dom02","imbalance, dominance by two taxa",81.5950920245399,">=",85,NA
