"SampleID","INDEX_NAME","INDEX_CLASS","Membership_Total","Membership_Total_QC","Primary_BCG_Level","Primary_Membership","Secondary_BCG_Level","Secondary_Membership","Membership_Diff","Membership_Close","Continuous_BCG_Level","BCG_Status","BCG_Status2","NumFlags","imbalance, dominance by one taxon","imbalance, dominance by two taxa","low number of total individuals","low number of total taxa"
"09a390a6-3119-4a82-90e0-7a7b43b767e5","LBR_Fish_BCG_v1","Main_Eckert",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",1,"flag",NA,NA,NA
"239135f6-152c-4f94-81d1-cd9e7bfc2106","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",4,0.601449275362319,5,0.39855072,0.202898555362319,NA,4.39855070144928,"4","4-",NA,NA,NA,NA,NA
"46a1e042-6cfe-4e7a-ad1a-e284feef8c33","LBR_Fish_BCG_v1","Main_SoChannel",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"4ab57043-badf-4bea-bb8f-4123a2d4a16d","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",6,1,NA,0,1,NA,6,"6","6",NA,NA,NA,NA,NA
"5b16748e-84a3-494d-8e0c-a2695ce56c2c","LBR_Fish_BCG_v1","Main_NotusParma",1,"PASS",6,1,NA,0,1,NA,6,"6","6",NA,NA,NA,NA,NA
"6126b9b7-3511-42ee-acff-1f0f2be4f836","LBR_Fish_BCG_v1","Main_VetGlen",1,"PASS",3,0.666666666666667,4,0.33333333,0.333333336666667,NA,3.33333332,"3","3-",NA,NA,NA,NA,NA
"7b637f2e-1057-4a85-90fa-a676bee7d8b2","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",4,1,NA,0,1,NA,4,"4","4",NA,NA,NA,NA,NA
"92861508-db6f-4890-b2ca-183041768c91","LBR_Fish_BCG_v1","Main_BarberPool",1,"PASS",4,0.66666667,3,0.333333333333333,0.333333336666667,NA,3.66666668,"4","4+",NA,NA,NA,NA,NA
"BRCald1997","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",5,1,NA,0,1,NA,5,"5","5",NA,NA,NA,NA,NA
"BRCald2005","LBR_Fish_BCG_v1","Main_Middleton",1,"PASS",5,0.666666666666667,6,0.33333333,0.333333336666667,NA,5.33333331333333,"5","5-",NA,NA,NA,NA,NA
